Manpower,Disaster_Group,Disaster_Subgroup,Disaster_Type
13,Natural,Hydrological,Flood
109,Natural,Meteorological,Storm
44,Natural,Hydrological,Flood
63,Natural,Meteorological,Storm
26,Natural,Meteorological,Storm
35,Natural,Hydrological,Flood
58,Natural,Meteorological,Storm
9005,Natural,Climatological,Drought
37,Natural,Hydrological,Flood
54,Natural,Hydrological,Flood
9073,Natural,Climatological,Drought
42,Natural,Meteorological,Storm
18,Natural,Hydrological,Landslide
10,Natural,Geophysical,Earthquake
90,Natural,Meteorological,Storm
57,Natural,Biological,Epidemic
51,Natural,Geophysical,Earthquake
21,Natural,Hydrological,Flood
61,Natural,Hydrological,Flood
69,Natural,Hydrological,Flood
25,Natural,Hydrological,Flood
66,Natural,Hydrological,Flood
118,Natural,Meteorological,Storm
6,Natural,Biological,Epidemic
120,Natural,Meteorological,Storm
67,Natural,Geophysical,Earthquake
23,Natural,Hydrological,Flood
62,Natural,Hydrological,Flood
7,Natural,Biological,Epidemic
16,Natural,Hydrological,Landslide
27,Natural,Hydrological,Landslide
121,Natural,Meteorological,Storm
99,Natural,Hydrological,Flood
93,Natural,Climatological,Wildfire
94,Natural,Climatological,Wildfire
97,Natural,Hydrological,Flood
28,Natural,Hydrological,Flood
129,Natural,Hydrological,Flood
112,Natural,Geophysical,Earthquake
42,Natural,Geophysical,Earthquake
44,Natural,Hydrological,Landslide
9085,Natural,Climatological,Drought
15,Natural,Hydrological,Flood
96,Natural,Meteorological,Storm
119,Natural,Hydrological,Flood
32,Natural,Meteorological,Storm
17,Natural,Hydrological,Flood
27,Natural,Hydrological,Flood
118,Natural,Meteorological,Storm
31,Natural,Geophysical,Mass movement (dry)
39,Natural,Meteorological,Storm
9001,Natural,Climatological,Drought
135,Natural,Hydrological,Landslide
18,Natural,Hydrological,Flood
127,Natural,Hydrological,Flood
19,Natural,Hydrological,Landslide
40,Natural,Hydrological,Flood
10,Natural,Meteorological,Extreme temperature 
46,Natural,Meteorological,Storm
9003,Natural,Climatological,Drought
41,Natural,Hydrological,Flood
49,Natural,Meteorological,Storm
100,Natural,Climatological,Wildfire
102,Natural,Climatological,Wildfire
132,Natural,Meteorological,Storm
58,Natural,Meteorological,Storm
112,Natural,Meteorological,Storm
2,Natural,Hydrological,Flood
14,Natural,Meteorological,Extreme temperature 
142,Natural,Meteorological,Storm
26,Natural,Meteorological,Storm
41,Natural,Hydrological,Flood
17,Natural,Hydrological,Flood
18,Natural,Hydrological,Landslide
61,Natural,Meteorological,Storm
60,Natural,Hydrological,Flood
59,Natural,Meteorological,Storm
144,Natural,Meteorological,Storm
38,Natural,Hydrological,Landslide
97,Natural,Climatological,Wildfire
98,Natural,Climatological,Wildfire
99,Natural,Climatological,Wildfire
100,Natural,Hydrological,Flood
101,Natural,Hydrological,Flood
9077,Natural,Climatological,Drought
33,Natural,Hydrological,Flood
9131,Natural,Climatological,Drought
51,Natural,Meteorological,Storm
63,Natural,Meteorological,Storm
9005,Natural,Climatological,Drought
2,Natural,Meteorological,Storm
51,Natural,Hydrological,Flood
53,Natural,Meteorological,Storm
23,Natural,Meteorological,Storm
123,Natural,Hydrological,Flood
125,Natural,Meteorological,Storm
130,Natural,Hydrological,Flood
19,Natural,Hydrological,Flood
38,Natural,Hydrological,Flood
43,Natural,Hydrological,Flood
29,Natural,Hydrological,Landslide
30,Natural,Hydrological,Landslide
24,Natural,Geophysical,Earthquake
9004,Natural,Climatological,Drought
16,Natural,Hydrological,Flood
126,Natural,Hydrological,Landslide
111,Natural,Hydrological,Flood
46,Natural,Hydrological,Flood
10,Natural,Meteorological,Storm
21,Natural,Meteorological,Storm
52,Natural,Meteorological,Storm
59,Natural,Climatological,Wildfire
27,Natural,Hydrological,Flood
103,Natural,Meteorological,Storm
95,Natural,Climatological,Wildfire
96,Natural,Climatological,Wildfire
39,Natural,Hydrological,Landslide
28,Natural,Meteorological,Storm
9,Natural,Meteorological,Extreme temperature 
54,Natural,Meteorological,Extreme temperature 
11,Natural,Meteorological,Storm
61,Natural,Meteorological,Storm
91,Natural,Meteorological,Storm
9100,Natural,Climatological,Drought
96,Natural,Hydrological,Flood
42,Natural,Meteorological,Storm
59,Natural,Meteorological,Storm
9049,Natural,Climatological,Drought
34,Natural,Hydrological,Flood
147,Natural,Meteorological,Storm
46,Natural,Meteorological,Storm
10,Natural,Hydrological,Flood
24,Natural,Hydrological,Landslide
53,Natural,Hydrological,Landslide
127,Natural,Biological,Epidemic
15,Natural,Hydrological,Flood
133,Natural,Hydrological,Flood
134,Natural,Hydrological,Flood
27,Natural,Hydrological,Flood
25,Natural,Geophysical,Earthquake
31,Natural,Hydrological,Landslide
48,Natural,Hydrological,Landslide
9,Natural,Hydrological,Landslide
43,Natural,Meteorological,Storm
17,Natural,Hydrological,Flood
110,Natural,Meteorological,Storm
111,Natural,Meteorological,Storm
114,Natural,Climatological,Wildfire
115,Natural,Climatological,Wildfire
117,Natural,Climatological,Wildfire
47,Natural,Meteorological,Storm
9055,Natural,Climatological,Drought
2,Natural,Meteorological,Storm
45,Natural,Meteorological,Storm
122,Natural,Meteorological,Storm
154,Natural,Hydrological,Flood
23,Natural,Meteorological,Storm
131,Natural,Meteorological,Storm
102,Natural,Climatological,Wildfire
103,Natural,Climatological,Wildfire
130,Natural,Hydrological,Flood
26,Natural,Hydrological,Landslide
39,Natural,Meteorological,Extreme temperature 
145,Natural,Meteorological,Extreme temperature 
68,Natural,Biological,Epidemic
42,Natural,Hydrological,Flood
20,Natural,Meteorological,Storm
122,Natural,Meteorological,Storm
24,Natural,Hydrological,Landslide
17,Natural,Geophysical,Earthquake
32,Natural,Geophysical,Volcanic activity
41,Natural,Geophysical,Volcanic activity
147,Natural,Geophysical,Volcanic activity
19,Natural,Hydrological,Flood
15,Natural,Meteorological,Storm
124,Natural,Hydrological,Flood
109,Natural,Meteorological,Storm
119,Natural,Meteorological,Storm
107,Natural,Hydrological,Flood
110,Natural,Hydrological,Flood
112,Natural,Hydrological,Flood
14,Natural,Geophysical,Earthquake
58,Natural,Meteorological,Storm
121,Natural,Meteorological,Storm
28,Natural,Geophysical,Earthquake
31,Natural,Hydrological,Flood
128,Natural,Meteorological,Storm
129,Natural,Meteorological,Storm
163,Natural,Meteorological,Storm
164,Natural,Meteorological,Storm
165,Natural,Meteorological,Storm
9126,Natural,Climatological,Drought
9127,Natural,Climatological,Drought
67,Natural,Hydrological,Flood
131,Natural,Meteorological,Storm
177,Natural,Meteorological,Storm
9162,Natural,Climatological,Drought
161,Natural,Meteorological,Storm
27,Natural,Biological,Epidemic
9152,Natural,Climatological,Drought
34,Natural,Meteorological,Storm
133,Natural,Meteorological,Storm
41,Natural,Hydrological,Flood
149,Natural,Hydrological,Flood
179,Natural,Meteorological,Storm
50,Natural,Geophysical,Earthquake
55,Natural,Geophysical,Earthquake
36,Natural,Hydrological,Landslide
187,Natural,Hydrological,Flood
70,Natural,Geophysical,Volcanic activity
30,Natural,Climatological,Wildfire
26,Natural,Geophysical,Earthquake
18,Natural,Meteorological,Storm
173,Natural,Meteorological,Storm
33,Natural,Geophysical,Earthquake
68,Natural,Geophysical,Earthquake
77,Natural,Geophysical,Volcanic activity
25,Natural,Hydrological,Landslide
32,Natural,Hydrological,Flood
178,Natural,Meteorological,Storm
172,Natural,Meteorological,Storm
58,Natural,Geophysical,Volcanic activity
9152,Natural,Climatological,Drought
24,Natural,Geophysical,Earthquake
35,Natural,Meteorological,Storm
138,Natural,Meteorological,Storm
139,Natural,Meteorological,Storm
141,Natural,Meteorological,Storm
9134,Natural,Climatological,Drought
137,Natural,Hydrological,Flood
152,Natural,Hydrological,Flood
43,Natural,Geophysical,Earthquake
47,Natural,Geophysical,Earthquake
71,Natural,Geophysical,Earthquake
171,Natural,Geophysical,Volcanic activity
73,Natural,Hydrological,Flood
188,Natural,Meteorological,Storm
63,Natural,Meteorological,Storm
74,Natural,Meteorological,Storm
143,Natural,Meteorological,Storm
144,Natural,Meteorological,Storm
146,Natural,Meteorological,Storm
147,Natural,Meteorological,Storm
106,Natural,Geophysical,Earthquake
9062,Natural,Climatological,Drought
9002,Natural,Climatological,Drought
137,Natural,Geophysical,Earthquake
146,Natural,Hydrological,Flood
223,Natural,Meteorological,Storm
225,Natural,Climatological,Wildfire
227,Natural,Climatological,Wildfire
224,Natural,Meteorological,Storm
226,Natural,Hydrological,Flood
144,Natural,Hydrological,Flood
124,Natural,Meteorological,Storm
60,Natural,Meteorological,Storm
109,Natural,Biological,Epidemic
54,Natural,Meteorological,Storm
110,Natural,Hydrological,Flood
125,Natural,Hydrological,Flood
48,Natural,Geophysical,Earthquake
9005,Natural,Climatological,Drought
36,Natural,Hydrological,Flood
9006,Natural,Climatological,Drought
61,Natural,Hydrological,Flood
77,Natural,Meteorological,Storm
105,Natural,Hydrological,Flood
232,Natural,Hydrological,Flood
9294,Natural,Climatological,Drought
203,Natural,Meteorological,Storm
209,Natural,Hydrological,Flood
87,Natural,Meteorological,Storm
69,Natural,Hydrological,Landslide
56,Natural,Geophysical,Volcanic activity
73,Natural,Hydrological,Flood
120,Natural,Hydrological,Flood
1,Natural,Biological,Epidemic
30,Natural,Geophysical,Volcanic activity
128,Natural,Hydrological,Flood
84,Natural,Hydrological,Flood
211,Natural,Hydrological,Flood
11,Natural,Biological,Epidemic
129,Natural,Hydrological,Flood
198,Natural,Meteorological,Storm
200,Natural,Meteorological,Storm
9195,Natural,Climatological,Drought
196,Natural,Hydrological,Flood
251,Natural,Geophysical,Earthquake
91,Natural,Meteorological,Storm
13,Natural,Biological,Epidemic
138,Natural,Biological,Epidemic
14,Natural,Hydrological,Flood
43,Natural,Hydrological,Flood
46,Natural,Hydrological,Flood
94,Natural,Hydrological,Flood
133,Natural,Meteorological,Storm
201,Natural,Meteorological,Storm
12,Natural,Biological,Epidemic
83,Natural,Hydrological,Flood
4,Natural,Hydrological,Flood
49,Natural,Meteorological,Storm
72,Natural,Biological,Epidemic
53,Natural,Climatological,Wildfire
97,Natural,Hydrological,Flood
61,Natural,Biological,Epidemic
51,Natural,Meteorological,Storm
68,Natural,Meteorological,Storm
96,Natural,Biological,Epidemic
30,Natural,Hydrological,Flood
6,Natural,Hydrological,Flood
73,Natural,Hydrological,Flood
34,Natural,Meteorological,Storm
62,Natural,Hydrological,Flood
29,Natural,Hydrological,Flood
77,Natural,Hydrological,Flood
98,Natural,Hydrological,Flood
32,Natural,Meteorological,Storm
10,Natural,Hydrological,Flood
81,Natural,Geophysical,Earthquake
38,Natural,Biological,Epidemic
88,Natural,Biological,Epidemic
14,Natural,Hydrological,Flood
64,Natural,Hydrological,Flood
44,Natural,Meteorological,Storm
55,Natural,Meteorological,Storm
56,Natural,Meteorological,Storm
63,Natural,Meteorological,Extreme temperature 
12,Natural,Biological,Epidemic
74,Natural,Biological,Epidemic
32,Natural,Geophysical,Earthquake
60,Natural,Geophysical,Earthquake
34,Natural,Hydrological,Flood
65,Natural,Meteorological,Storm
105,Natural,Hydrological,Flood
38,Natural,Geophysical,Earthquake
14,Natural,Hydrological,Landslide
71,Natural,Hydrological,Landslide
55,Natural,Hydrological,Flood
47,Natural,Meteorological,Storm
36,Natural,Meteorological,Storm
48,Natural,Hydrological,Flood
1,Natural,Hydrological,Flood
17,Natural,Meteorological,Storm
53,Natural,Hydrological,Flood
46,Natural,Hydrological,Flood
41,Natural,Meteorological,Storm
70,Natural,Hydrological,Flood
3,Natural,Biological,Epidemic
